task,transfer_cluster,mode,seed,agent,agent_model,agent_effort,valid_run,invalid_reasons,analytical_eligible,analytical_ineligible_reasons,task_success,score,hidden_micro_score,score_binary,feature_lift,feature_passed,feature_total,agent_rc,agent_attempts,agent_transient_retries,hidden_passed,hidden_total,hidden_failed,regression_green,tests_added,existing_tests_modified,existing_tests_deleted,architecture_score,architecture_green,files_changed,insertions,deletions,files_read,time_to_first_relevant_file_sec,wall_sec,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,total_cost_usd,num_turns,agent_touched_tests,retrieval_backend,retrieval_fallback,injected_fact_ids,context_chars,context_tokens,retrieval_precision,retrieval_coverage,irrelevant_facts,memory_instance_id,memory_parent_instance_id,memory_session_instance_created,memory_clone_wall_sec,memory_clone_provider_calls,memory_retention_deleted_instance_id,memory_retention_wall_sec,memory_retention_provider_calls,memory_state_before,memory_state_after,memory_creates,memory_updates,memory_stale,memory_noop,memory_gotchas,memory_schema_changes,memory_read_wall_sec,memory_write_wall_sec,memory_read_provider_calls,memory_write_provider_calls,evolution_checkpoint,evolve_wall_sec,evolve_backend_wall_sec,evolve_output_tokens,harmful_on_worse_off,harmful_stale_fact_used,harmful_regression_after_retrieval
a1,data-repository-invariants,memory-off,1,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,True,1.0,1.0,1.0,1.0,6,6,0,1,0,21,21,0,True,0,1,0,1.0,True,4,111,2,,,169.3,68,13913,1657987,69715,1.1253790999999995,34,True,,False,,0,0,,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,False,False,False
a1,data-repository-invariants,memory-off,2,claude,claude-sonnet-5,medium,True,,True,,True,1.0,1.0,1.0,1.0,6,6,0,1,0,21,21,0,True,0,0,0,1.0,True,4,101,10,,,240.6,118,18599,3058626,79465,1.6744958000000005,59,False,,False,,0,0,,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,False,False,False
a1,data-repository-invariants,memory-on,1,claude,claude-sonnet-5,medium,True,,False,regression_red;existing_tests_modified_or_deleted,False,0.5,0.857,0.0,0.5,3,6,0,1,0,18,21,3,False,0,1,0,0.5,False,2,11,2,,,256.8,107,20407,2449888,64789,1.4301264,55,True,xmemory,False,fact:do-0001;fact:do-0002;fact:do-0003;fact:do-0004;fact:do-0005;fact:do-0006;fact:iv-0001;fact:iv-0002;fact:iv-0003;fact:iv-0004,4964,1241,0.2,1.0,8,e00259ca-099a-40fd-9a2a-e9bbb5beb68d,717c173f-6469-4c4c-b495-e51b3a9cfed1,True,30.3766,6,,,,0,1,2,0,0,0,1,0,19.9275,32.1374,3,5,,,,,True,False,True
a1,data-repository-invariants,memory-on,2,claude,claude-sonnet-5,medium,True,,False,regression_red,False,1.0,1.0,1.0,1.0,6,6,0,1,0,21,21,0,False,0,0,0,1.0,True,3,199,1,,,198.4,65,17394,1561628,67404,1.1340174,34,False,xmemory,False,fact:do-0001;fact:do-0002;fact:do-0003;fact:do-0004;fact:do-0005;fact:do-0006;fact:iv-0001;fact:iv-0002;fact:iv-0003;fact:iv-0004,4964,1241,0.2,1.0,8,5659368c-72de-43b5-bde6-2ffc9a476e00,717c173f-6469-4c4c-b495-e51b3a9cfed1,True,29.7209,6,,,,0,1,2,0,1,0,1,0,2.8652,23.2099,3,5,,,,,False,False,True
a1,data-repository-invariants,memory-on+evolve,1,claude,claude-sonnet-5,medium,True,,False,regression_red,False,1.0,1.0,1.0,1.0,6,6,0,1,0,21,21,0,False,0,0,0,1.0,True,3,86,1,,,185.5,67,15212,1493635,63158,1.0554195,35,False,xmemory,False,fact:do-0001;fact:do-0002;fact:do-0003;fact:do-0004;fact:do-0005;fact:do-0006;fact:iv-0001;fact:iv-0002;fact:iv-0003;fact:iv-0004,4964,1241,0.2,1.0,8,0e168f9b-a3ab-4c9a-8c58-23ed9b26992e,717c173f-6469-4c4c-b495-e51b3a9cfed1,True,29.1113,6,,,,0,1,2,0,1,0,1,0,17.0852,22.1457,3,5,,,,,False,False,True
a1,data-repository-invariants,memory-on+evolve,2,claude,claude-sonnet-5,medium,True,,False,regression_red,False,0.833333,0.952,0.0,0.833333,5,6,0,1,0,20,21,1,False,0,0,0,1.0,True,3,168,6,,,375.1,117,33065,3191836,85142,1.9647287999999996,59,False,xmemory,False,fact:do-0001;fact:do-0002;fact:do-0003;fact:do-0004;fact:do-0005;fact:do-0006;fact:iv-0001;fact:iv-0002;fact:iv-0003;fact:iv-0004,4964,1241,0.2,1.0,8,11db43ab-7f8d-4fbe-bf63-6ad1cff8e29b,717c173f-6469-4c4c-b495-e51b3a9cfed1,True,28.7553,6,,,,0,1,3,0,1,0,1,0,2.7233,22.8778,3,5,,,,,True,False,True
a2,config-api-auth,memory-off,1,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,False,0.333333,0.955,0.0,0.333333,1,3,0,1,0,42,44,2,True,1,1,0,1.0,True,12,174,1,,,656.3,232,48687,8340345,119136,3.9488405,116,True,,False,,0,0,,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,False,False,False
a2,config-api-auth,memory-off,2,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,False,0.666667,0.977,0.0,0.666667,2,3,0,1,0,43,44,1,True,0,3,0,1.0,True,13,154,1,,,507.7,200,35999,7197052,117550,3.4058606000000005,100,True,,False,,0,0,,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,False,False,False
a2,config-api-auth,memory-on,1,claude,claude-sonnet-5,medium,True,,False,regression_red;existing_tests_modified_or_deleted,False,0.333333,0.955,0.0,0.333333,1,3,0,1,0,42,44,2,False,0,1,0,0.75,False,8,71,6,,,656.1,193,48274,7768826,126032,3.8115288,111,True,xmemory,False,fact:ac-0001;fact:ac-0002;fact:ac-0004;fact:cf-0001;fact:cf-0002;fact:cf-0003;fact:cf-0004;fact:cf-0005;fact:cf-0006;fact:iv-0001;fact:iv-0002;fact:iv-0003;fact:iv-0004,6636,1659,0.231,1.0,10,14dcb981-e731-4c76-ae1a-0219296ebe8a,e00259ca-099a-40fd-9a2a-e9bbb5beb68d,True,33.8962,7,e00259ca-099a-40fd-9a2a-e9bbb5beb68d,0.7792,1,1,2,3,0,0,0,2,0,21.5656,23.6951,3,5,,,,,False,False,True
a2,config-api-auth,memory-on,2,claude,claude-sonnet-5,medium,True,,False,regression_red;existing_tests_modified_or_deleted,False,0.666667,0.977,0.0,0.666667,2,3,0,1,0,43,44,1,False,0,2,0,1.0,True,9,124,7,,,1871.2,169,34870,5020989,92040,2.5820936999999997,84,True,xmemory,False,fact:ac-0001;fact:ac-0002;fact:ac-0004;fact:cf-0001;fact:cf-0002;fact:cf-0003;fact:cf-0004;fact:cf-0005;fact:cf-0006;fact:iv-0001;fact:iv-0002;fact:iv-0003;fact:iv-0004,6636,1659,0.231,1.0,10,e820bc9a-59e7-4fe5-a4e5-af4056bcd0f8,5659368c-72de-43b5-bde6-2ffc9a476e00,True,30.068,7,5659368c-72de-43b5-bde6-2ffc9a476e00,0.7885,1,1,2,3,0,0,0,1,0,2.6566,26.0903,3,5,,,,,False,False,True
